city,country,population,EU,coastline,latitude,longitude,temperature
Elbasan,Albania,2.9,no,yes,41.12,20.08,15.18
Andorra,Andorra,0.07,no,no,42.5,1.52,
Innsbruck,Austria,8.57,yes,no,,11.41,4.54
Graz,Austria,8.57,yes,no,47.08,,6.91
Linz,Austria,8.57,yes,no,48.32,14.29,6.79
Salzburg,Austria,8.57,yes,no,47.81,,4.62
Vienna,Austria,8.57,yes,no,48.2,16.37,7.86
Minsk,Belarus,9.48,no,no,,27.57,5.28
Orsha,Belarus,9.48,no,no,,,4.93
Pinsk,Belarus,9.48,no,no,,,6.42
Brest,Belarus,9.48,no,no,52.1,23.7,6.73
Hrodna,Belarus,9.48,no,no,53.68,,
Mazyr,Belarus,9.48,no,no,52.05,,6.25
Brugge,Belgium,11.37,yes,yes,51.22,3.23,9.65
Sarajevo,Bosnia and Herzegovina,3.8,no,yes,43.85,13.38,
Plovdiv,Bulgaria,7.1,yes,yes,,,8.27
Burgas,Bulgaria,7.1,yes,yes,42.51,27.47,
Pleven,Bulgaria,7.1,yes,yes,43.42,,10.51
Ruse,Bulgaria,7.1,yes,yes,43.85,25.97,
Stara Zagora,Bulgaria,7.1,yes,yes,42.42,25.62,10.9
Split,Croatia,4.23,yes,yes,,16.47,12.46
Rijeka,Croatia,4.23,yes,yes,45.33,14.45,9.27
Brno,Czech Republic,10.55,yes,no,49.2,16.61,7.86
Ostrava,Czech Republic,10.55,yes,no,49.83,,7.66
Prague,Czech Republic,10.55,yes,no,50.08,14.47,8.05
Aalborg,Denmark,5.69,yes,yes,,9.92,7.52
Odense,Denmark,5.69,yes,yes,55.4,,
Tartu,Estonia,1.31,yes,yes,,26.71,
Tallinn,Estonia,1.31,yes,yes,59.43,,
Helsinki,Finland,5.52,yes,yes,60.18,24.93,
Oulu,Finland,5.52,yes,yes,65.0,,
Tampere,Finland,5.52,yes,yes,61.5,23.75,3.59
Turku,Finland,5.52,yes,yes,60.45,22.25,
Grenoble,France,64.67,yes,yes,,,
Limoges,France,64.67,yes,yes,,1.25,
Marseille,France,64.67,yes,yes,,5.38,14.98
Amiens,France,64.67,yes,yes,49.9,2.3,
Montpellier,France,64.67,yes,yes,,,11.11
Angers,France,64.67,yes,yes,47.48,,10.98
Bordeaux,France,64.67,yes,yes,44.85,,11.87
Brest,France,64.67,yes,yes,48.39,-4.5,11.02
Reims,France,64.67,yes,yes,,,
Caen,France,64.67,yes,yes,49.18,,
Dijon,France,64.67,yes,yes,47.33,5.03,8.69
Le Mans,France,64.67,yes,yes,48.0,,10.59
Lille,France,64.67,yes,yes,50.65,3.08,9.65
Metz,France,64.67,yes,yes,49.12,6.18,8.88
Mulhouse,France,64.67,yes,yes,47.75,7.35,6.68
Nice,France,64.67,yes,yes,43.72,7.27,8.82
Perpignan,France,64.67,yes,yes,42.7,2.9,
Toulouse,France,64.67,yes,yes,43.62,1.45,10.25
Bonn,Germany,80.68,yes,yes,,7.08,8.63
Augsburg,Germany,80.68,yes,yes,48.35,,4.54
Ingolstadt,Germany,80.68,yes,yes,,11.45,7.57
